"id","month","year","targetDemoPlot","targetVisitKios","targetGathering","targetCompany","targetBehavior","createdAt","updatedAt","areaId"
"cmn76h0z50001jr04gxqk2sp5",3,2026,50,100,50,20,299,"2026-03-26 07:55:39.181","2026-03-26 07:55:39.181",
"cmn8igkam0001jr043iu9rp00",4,2026,20,5,5,2,20,"2026-03-27 06:18:59.131","2026-03-27 06:27:03.564",
"cmogn8zyd0003l10440cgy305",5,2026,40,10,4,0,80,"2026-04-27 03:34:55.982","2026-04-27 03:40:55.095","cmmu5b6vr0001jp04nn83ngz5"
"cmogn9mbk0001l504iszen26s",5,2026,40,10,4,0,80,"2026-04-27 03:35:24.966","2026-04-27 03:41:19.398","cmmu5baag0002jp04tu1z121e"
"cmognbfc30007l204b358kvq7",5,2026,40,10,4,0,80,"2026-04-27 03:36:49.223","2026-04-27 03:41:40.765","cmmu5bdk90003jp04wwmqip3w"
"cmogq31vb0001l104osnytfbk",6,2026,40,10,4,0,80,"2026-04-27 04:54:17.395","2026-04-27 04:54:17.395","cmmu5b29t0000jp04i02m5ac6"
"cmogq4yxm0001js04vrcz8mgv",6,2026,40,10,4,0,80,"2026-04-27 04:55:46.901","2026-04-27 04:55:46.901","cmmu5b6vr0001jp04nn83ngz5"
"cmohg3vbw0003l404yk5unbmj",6,2026,40,10,0,4,80,"2026-04-27 17:02:45.594","2026-04-27 17:02:45.594","cmmu5baag0002jp04tu1z121e"
"cmogkhne10004lb04631oxwf9",4,2026,40,10,4,0,100,"2026-04-27 02:17:40.75","2026-04-28 06:50:34.413","cmmu5b29t0000jp04i02m5ac6"
"cmoi9p8fd0001jo04jmt0l0nn",4,2026,40,10,4,0,100,"2026-04-28 06:51:11.209","2026-04-28 06:51:11.209","cmmu5b6vr0001jp04nn83ngz5"
"cmoi9ql330003jo04rjat0x4x",4,2026,40,10,4,0,100,"2026-04-28 06:52:14.271","2026-04-28 06:52:14.271","cmmu5baag0002jp04tu1z121e"
"cmoi9qzls0001jx04g9493fca",4,2026,40,10,4,0,100,"2026-04-28 06:52:33.088","2026-04-28 06:52:33.088","cmmu5bdk90003jp04wwmqip3w"
"cmogn1b670001l1045xk164gk",5,2026,112,10,4,0,290,"2026-04-27 03:28:57.275","2026-05-04 01:48:09.788","cmmu5b29t0000jp04i02m5ac6"
